mouseup at (400, 126) on 2024-10-05T10:57:57.823Z
click at (400, 126) on 2024-10-05T10:57:57.824Z
mousedown at (542, 430) on 2024-10-05T10:58:07.440Z
mouseup at (542, 430) on 2024-10-05T10:58:07.514Z
click at (542, 430) on 2024-10-05T10:58:07.515Z
mousedown at (611, 395) on 2024-10-05T10:58:09.232Z
mouseup at (611, 395) on 2024-10-05T10:58:09.320Z
click at (611, 395) on 2024-10-05T10:58:09.320Z
mousedown at (606, 223) on 2024-10-05T10:58:12.041Z
mouseup at (606, 223) on 2024-10-05T10:58:12.136Z
click at (606, 223) on 2024-10-05T10:58:12.136Z
mousedown at (436, 109) on 2024-10-05T10:58:18.889Z
mouseup at (436, 109) on 2024-10-05T10:58:18.965Z
click at (436, 109) on 2024-10-05T10:58:18.965Z
mousedown at (576, 140) on 2024-10-05T10:58:22.688Z
mouseup at (576, 140) on 2024-10-05T10:58:22.764Z
click at (576, 140) on 2024-10-05T10:58:22.765Z
mousedown at (516, 137) on 2024-10-05T10:58:26.712Z
mouseup at (516, 137) on 2024-10-05T10:58:26.832Z
click at (516, 137) on 2024-10-05T10:58:26.833Z
mousedown at (521, 141) on 2024-10-05T10:58:28.640Z
mouseup at (521, 141) on 2024-10-05T10:58:28.733Z
click at (521, 141) on 2024-10-05T10:58:28.734Z
mousedown at (528, 254) on 2024-10-05T10:58:32.033Z
